ReturnId,IsReceiptPresent,ReceiptId,ReturnDate,ReturnPrice,CustomerName,Street,City,State,CustomerPhone,CreditCardNum,CreditCardExpire,GiftCardNumber,EmployeeId,CustomerID
470,False,5439,2024-01-08 17:44:49.604353,4608198,Tiffany Phillips,589 Brown Fields Suite 320,New Jessicachester,Connecticut,+1-218-886-1850x87061,4757355456726355,2022-10-22 20:33:16.707820,6005,84966,10001
5890,True,4223,2024-02-17 13:55:31.085080,76771903,Michael Stephenson,45858 Max Stravenue Suite 265,Joannaport,Kansas,826.202.7453x542,0632425421525316,2024-01-13 00:15:50.658989,4614,57258,10002
6179,True,5987,2024-03-18 05:39:40.942897,6,Jasmine Foster,409 Timothy Radial,Raymondberg,North Dakota,253.287.4908,2242519958101721,2022-10-17 14:44:00.028486,2555,41845,10003
1800,True,489,2024-03-20 02:08:06.679233,298041,Ashley Lowe,2285 Stout Unions Suite 245,South Lisa,Ohio,469.204.3047x479,4971383762262868,2022-07-30 11:58:31.390354,2447,97986,10004
5601,True,9494,2024-01-01 14:44:12.972435,798938,Jonathan Walker,77264 Jeffrey Flats,South Christie,Arizona,+1-989-712-5010x9819,5551799917563789,2024-01-09 04:25:47.620414,8575,79023,10005
4391,False,4827,2024-01-07 19:17:23.517987,913522,Lisa Sosa,86779 Collins Corner Suite 491,South Davidbury,Mississippi,001-282-990-6701x65054,7952608178083790,2024-03-18 22:34:32.553410,2381,54061,10006
6006,False,3270,2024-01-18 05:48:47.583815,42150462,Mr. David Vega,751 Colleen Forks,East Emily,Washington,223-205-4527x725,1079678344888273,2021-05-22 22:04:36.829736,1267,41845,10007
1731,False,5394,2024-03-21 03:44:38.786711,77774,Justin Lester,0010 Garcia Glen,Calderonburgh,New York,(381)479-9902,9767525445425484,2021-08-25 16:55:53.028077,6864,27935,10008
2353,False,8509,2024-04-04 02:25:33.130457,4126,Joseph Young,934 Sharon Creek,West Daniel,Connecticut,721-734-3050,1378110954750291,2023-06-12 15:39:39.569829,3131,80899,10009
3148,True,5530,2024-01-23 12:04:19.693250,51732239,Dennis Strickland,520 Gonzalez Well Suite 719,Robertland,North Dakota,941.643.8650,8233150181174709,2023-09-15 14:59:20.211143,8795,92530,10010
4442,True,2621,2024-01-25 07:11:09.552027,581964926,Maria Davis,33865 Julia Trafficway Apt. 980,Fischerville,Oklahoma,998-331-6989,8113580117832985,2020-06-15 02:57:03.676387,6394,19694,10011
6369,True,2766,2024-02-13 17:39:55.959083,6200,Michael Tapia,8176 Evan Throughway,Michaelburgh,Rhode Island,(661)376-9603x28590,7294792501470420,2022-03-01 19:20:54.509515,8840,27935,10012
6831,False,1598,2024-03-17 11:26:43.076363,5,Peter Kerr,03121 Chapman Manors,New Reginaberg,Iowa,+1-663-316-1963x30490,1416669684220900,2022-01-31 04:37:06.303240,1100,79023,10013
6697,True,6934,2024-03-27 21:16:43.866507,6112,Alec Collins,19705 Martinez Harbors,East Jeremiahview,Illinois,001-991-356-2928x88512,0868659539249908,2022-01-27 01:52:50.014521,1791,40295,10014
1747,False,9531,2024-02-16 19:03:00.934077,2307722,Troy Stevens,65284 Garcia Cliffs Suite 810,Hicksstad,Montana,638.429.7301,2951075887176479,2021-10-26 04:02:49.957917,6419,61373,10015
6880,False,5148,2024-01-06 11:29:49.547843,9079648,Jessica Compton,90497 Goodman Roads,Mariohaven,Massachusetts,+1-383-477-9688x456,8394140144025577,2022-05-21 03:16:03.656104,3819,54061,10016
6184,False,796,2024-01-11 12:36:24.209861,7312,April Johnson,24853 Amy Walk Apt. 214,East Ryan,Massachusetts,001-707-702-6061x84494,8955082360972153,2021-03-10 07:54:27.527343,9287,52272,10017
4839,False,7585,2024-01-31 05:31:18.534760,333355,Gabrielle Jones,476 Jeffrey Underpass Suite 386,Robertsmouth,Florida,+1-870-218-5465x5070,3932222498625710,2021-05-26 10:17:23.489351,836,81344,10018
4785,False,949,2024-04-03 23:42:39.824861,111251138,Jasmine Delacruz,2342 Brandon Tunnel,Lake Leahville,Alaska,756-508-4709,2534095140248665,2021-07-28 01:56:51.675341,5806,81344,10019
6512,True,4443,2024-01-01 08:53:24.910250,2,Ronald Thompson,02163 Watts Port Suite 022,Teresaton,Hawaii,+1-211-676-8852x433,1785627326622480,2021-07-01 02:53:10.310769,8949,79023,10020
